,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
67,67,False,999,"[0, 0]",-0.3045182073270036,6,0
68,68,False,999,"[0, 0]",-4.311652426997456,6,0
69,69,False,999,"[0, 0]",-0.07405712518130281,6,0
70,70,False,999,"[0, 0]",-0.05452219963118486,6,0
71,71,False,999,"[0, 0]",-0.06407104778193935,6,0
72,72,False,999,"[0, 0]",-0.10722521610778082,6,0
73,73,False,999,"[0, 0]",-0.14128512917715724,6,0
74,74,False,999,"[0, 0]",-0.3488137058180052,6,0
75,75,False,999,"[0, 0]",-0.3287307235902705,6,0
76,76,False,999,"[0, 0]",-0.2105563691199044,6,0
77,77,False,999,"[0, 0]",-0.11423850718356678,6,0
78,78,False,999,"[0, 0]",-0.12382328295746858,6,0
79,79,False,999,"[0, 0]",-0.1348594719705247,6,0
80,80,False,999,"[0, 0]",-0.7291378747523315,6,0
81,81,False,999,"[0, 0]",-1.880490587488823,6,0
82,82,False,999,"[0, 0]",-0.32943515851424754,6,0
83,83,False,999,"[0, 0]",-0.2507941694691005,6,0
84,84,False,999,"[0, 0]",-2.388016355416311,6,0
85,85,False,999,"[0, 0]",-0.09855465930401708,6,0
86,86,False,999,"[0, 0]",-0.2690237864733213,6,0
87,87,False,999,"[0, 0]",-0.8918230167452854,6,0
88,88,False,999,"[0, 0]",-0.09117221737562611,6,0
89,89,False,999,"[0, 0]",-2.3847895538204966,6,0
90,90,False,999,"[0, 0]",-0.5198985031659901,6,0
91,91,False,999,"[0, 0]",-0.21973522945154736,6,0
92,92,False,999,"[0, 0]",-1.1933820411389635,6,0
93,93,False,999,"[0, 0]",-0.06981145333801064,6,0
94,94,False,999,"[0, 0]",-0.07207409097628939,6,0
95,95,False,999,"[0, 0]",-0.3320902318065868,6,0
96,96,False,999,"[0, 0]",-0.07287106480813557,6,0
97,97,False,999,"[0, 0]",-0.4287755052581789,6,0
98,98,False,999,"[0, 0]",-1.0068758425042308,6,0
99,99,False,999,"[0, 0]",-0.1863021207072153,6,0
100,100,False,999,"[0, 0]",-0.08291161002342659,6,0
101,101,False,999,"[0, 0]",-1.1095290650111658,6,0
102,102,False,999,"[0, 0]",-1.0086896790926914,6,0
103,103,False,999,"[0, 0]",-0.12026668711693592,6,0
104,104,False,999,"[0, 0]",-0.5994731191012757,6,0
