episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
30,True,878,4.1778740882873535,"[0.05, 0.05]",3
31,True,362,5.087517261505127,"[0.05, 0.05]",3
32,True,726,5.16871976852417,"[0.05, 0.05]",3
33,True,117,4.919483184814453,"[0.05, 0.05]",3
34,False,999,3.998013734817505,"[0.05, 0.05]",3
35,True,309,5.148676872253418,"[0.05, 0.05]",3
36,True,672,4.641596794128418,"[0.05, 0.05]",3
37,True,588,4.698493003845215,"[0.05, 0.05]",3
38,True,677,4.592548847198486,"[0.05, 0.05]",3
39,True,353,5.106770992279053,"[0.05, 0.05]",3
0,True,424,94.0401840209961,"[0.05, 0.05]",1
1,True,574,43.611854553222656,"[0.05, 0.05]",1
2,False,999,35.28485870361328,"[0.05, 0.05]",1
3,False,999,34.981666564941406,"[0.05, 0.05]",1
4,False,999,27.47840118408203,"[0.05, 0.05]",1
5,True,441,23.170089721679688,"[0.05, 0.05]",1
6,True,860,9.02889347076416,"[0.05, 0.05]",1
7,True,150,11.917584419250488,"[0.05, 0.05]",1
8,True,394,9.325723648071289,"[0.05, 0.05]",1
9,True,495,7.735486030578613,"[0.05, 0.05]",1
10,True,840,7.374258041381836,"[0.05, 0.05]",1
11,True,985,7.534178256988525,"[0.05, 0.05]",1
12,True,444,4.610987186431885,"[0.05, 0.05]",1
13,True,329,5.86279296875,"[0.05, 0.05]",1
14,True,127,5.249253273010254,"[0.05, 0.05]",1
15,True,289,5.789511680603027,"[0.05, 0.05]",1
16,True,479,5.18454647064209,"[0.05, 0.05]",1
17,False,999,3.587214946746826,"[0.05, 0.05]",1
18,True,172,5.841376781463623,"[0.05, 0.05]",1
19,True,571,5.408047199249268,"[0.05, 0.05]",1
20,False,999,4.3353705406188965,"[0.05, 0.05]",1
21,True,198,5.4485578536987305,"[0.05, 0.05]",1
22,False,999,3.7345380783081055,"[0.05, 0.05]",1
23,True,437,6.233973979949951,"[0.05, 0.05]",1
24,True,217,4.682961940765381,"[0.05, 0.05]",1
25,False,999,5.179865837097168,"[0.05, 0.05]",1
26,True,202,5.364670753479004,"[0.05, 0.05]",1
27,True,207,5.036858081817627,"[0.05, 0.05]",1
28,False,999,4.543242931365967,"[0.05, 0.05]",1
29,True,914,4.602117538452148,"[0.05, 0.05]",1
30,True,529,5.170518398284912,"[0.05, 0.05]",1
31,True,136,5.628305435180664,"[0.05, 0.05]",1
32,True,550,4.770369529724121,"[0.05, 0.05]",1
33,True,390,4.530518531799316,"[0.05, 0.05]",1
34,True,548,4.4555158615112305,"[0.05, 0.05]",1
35,True,978,4.702978134155273,"[0.05, 0.05]",1
36,True,917,5.066133975982666,"[0.05, 0.05]",1
37,True,652,5.217300891876221,"[0.05, 0.05]",1
38,True,417,4.827004909515381,"[0.05, 0.05]",1
39,True,506,4.39447546005249,"[0.05, 0.05]",1
0,False,999,46.58872985839844,"[0.05, 0.05]",7
1,True,236,46.4722900390625,"[0.05, 0.05]",7
2,True,623,26.771835327148438,"[0.05, 0.05]",7
3,True,940,26.485898971557617,"[0.05, 0.05]",7
4,True,396,31.64426040649414,"[0.05, 0.05]",7
5,True,611,18.204978942871094,"[0.05, 0.05]",7
6,True,437,14.176450729370117,"[0.05, 0.05]",7
7,True,382,7.958479881286621,"[0.05, 0.05]",7
8,True,682,10.307330131530762,"[0.05, 0.05]",7
9,True,677,6.69378662109375,"[0.05, 0.05]",7
10,True,236,5.402151107788086,"[0.05, 0.05]",7
11,True,507,6.324318885803223,"[0.05, 0.05]",7
12,True,490,6.7107439041137695,"[0.05, 0.05]",7
13,False,999,4.370425701141357,"[0.05, 0.05]",7
14,True,634,5.829521656036377,"[0.05, 0.05]",7
15,True,239,7.4565558433532715,"[0.05, 0.05]",7
16,True,303,5.157949447631836,"[0.05, 0.05]",7
17,True,754,6.344549179077148,"[0.05, 0.05]",7
18,True,329,5.089493274688721,"[0.05, 0.05]",7
19,True,776,3.9761710166931152,"[0.05, 0.05]",7
20,True,705,4.189792156219482,"[0.05, 0.05]",7
21,True,319,6.434676170349121,"[0.05, 0.05]",7
22,False,999,4.818909168243408,"[0.05, 0.05]",7
23,False,999,4.260483264923096,"[0.05, 0.05]",7
24,True,795,5.279780387878418,"[0.05, 0.05]",7
25,True,810,4.313922882080078,"[0.05, 0.05]",7
26,True,305,4.724599838256836,"[0.05, 0.05]",7
27,True,632,5.051531791687012,"[0.05, 0.05]",7
28,True,552,4.007913589477539,"[0.05, 0.05]",7
29,False,999,4.1248674392700195,"[0.05, 0.05]",7
30,True,440,5.121921539306641,"[0.05, 0.05]",7
31,True,752,5.395821571350098,"[0.05, 0.05]",7
32,True,283,5.406961441040039,"[0.05, 0.05]",7
33,False,999,4.415965557098389,"[0.05, 0.05]",7
34,True,420,5.135280609130859,"[0.05, 0.05]",7
35,True,389,5.2248992919921875,"[0.05, 0.05]",7
36,False,999,4.196287155151367,"[0.05, 0.05]",7
37,True,544,4.982975006103516,"[0.05, 0.05]",7
38,True,457,5.145254135131836,"[0.05, 0.05]",7
39,True,654,4.5175957679748535,"[0.05, 0.05]",7
0,True,806,40.7251091003418,"[0.05, 0.05]",9
1,False,999,25.69464874267578,"[0.05, 0.05]",9
2,False,999,18.922462463378906,"[0.05, 0.05]",9
3,True,700,7.331334590911865,"[0.05, 0.05]",9
4,True,260,8.586312294006348,"[0.05, 0.05]",9
5,True,174,9.464771270751953,"[0.05, 0.05]",9
6,True,211,5.299746036529541,"[0.05, 0.05]",9
7,True,374,7.097544193267822,"[0.05, 0.05]",9
8,True,107,6.783563137054443,"[0.05, 0.05]",9
9,True,363,5.173182487487793,"[0.05, 0.05]",9
10,True,353,4.644199371337891,"[0.05, 0.05]",9
11,True,475,4.781435012817383,"[0.05, 0.05]",9
12,True,281,6.615787506103516,"[0.05, 0.05]",9
13,True,578,6.246012210845947,"[0.05, 0.05]",9
14,True,113,5.795574188232422,"[0.05, 0.05]",9
15,False,999,5.5699052810668945,"[0.05, 0.05]",9
16,True,417,5.415921211242676,"[0.05, 0.05]",9
17,True,669,4.962169170379639,"[0.05, 0.05]",9
18,False,999,4.6283464431762695,"[0.05, 0.05]",9
19,True,693,5.0027971267700195,"[0.05, 0.05]",9
20,True,746,5.300585746765137,"[0.05, 0.05]",9
