,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
159,9,False,999,"[0, 0]",-0.1627561333466439,6,1
160,10,False,999,"[0, 0]",-0.14881967960938974,6,1
161,11,False,999,"[0, 0]",-0.20202769673271093,6,1
162,12,False,999,"[0, 0]",-0.14728391517302242,6,1
163,13,False,999,"[0, 0]",-0.14774384083557957,6,1
164,14,False,999,"[0, 0]",-0.13651314191671476,6,1
165,15,False,999,"[0, 0]",-0.11681689352778268,6,1
166,16,False,999,"[0, 0]",-0.15729250731054165,6,1
167,17,False,999,"[0, 0]",-0.17244462603461924,6,1
168,18,False,999,"[0, 0]",-0.13879782833773135,6,1
169,19,False,999,"[0, 0]",-0.14084125606947484,6,1
170,20,False,999,"[0, 0]",-0.14359810602707898,6,1
171,21,False,999,"[0, 0]",-0.17814087458653866,6,1
172,22,False,999,"[0, 0]",-0.21993807096327347,6,1
173,23,False,999,"[0, 0]",-0.2047544481546844,6,1
174,24,False,999,"[0, 0]",-0.2619389425574365,6,1
175,25,False,999,"[0, 0]",-0.29266179523201624,6,1
176,26,False,999,"[0, 0]",-0.3311431030196307,6,1
177,27,False,999,"[0, 0]",-0.5163557000858271,6,1
178,28,False,999,"[0, 0]",-0.6214204955198273,6,1
179,29,False,999,"[0, 0]",-0.7406086800473245,6,1
180,30,False,999,"[0, 0]",-0.8198067444347761,6,1
181,31,False,999,"[0, 0]",-0.7576048006864826,6,1
182,32,False,999,"[0, 0]",-0.7155954590276883,6,1
183,33,False,999,"[0, 0]",-0.5866741675304141,6,1
184,34,False,999,"[0, 0]",-0.5865239392973929,6,1
185,35,False,999,"[0, 0]",-0.5959684772334337,6,1
186,36,False,999,"[0, 0]",-0.6123553080459558,6,1
187,37,False,999,"[0, 0]",-0.6105855105075251,6,1
188,38,False,999,"[0, 0]",-0.587890504818628,6,1
189,39,False,999,"[0, 0]",-0.6057366889688672,6,1
190,40,False,999,"[0, 0]",-0.5482742865690874,6,1
191,41,False,999,"[0, 0]",-0.5413659259673391,6,1
192,42,False,999,"[0, 0]",-0.5530795640777486,6,1
193,43,False,999,"[0, 0]",-0.6540642696355758,6,1
194,44,False,999,"[0, 0]",-0.5571512575454898,6,1
195,45,False,999,"[0, 0]",-0.4007644696274585,6,1
196,46,False,999,"[0, 0]",-0.42160675859036933,6,1
197,47,False,999,"[0, 0]",-0.3450744285618441,6,1
198,48,False,999,"[0, 0]",-0.3565503369349192,6,1
199,49,False,999,"[0, 0]",-0.2545928432804531,6,1
200,50,False,999,"[0, 0]",-0.27959776047793994,6,1
201,51,False,999,"[0, 0]",-0.2771501909686941,6,1
202,52,False,999,"[0, 0]",-0.25418707123669443,6,1
203,53,False,999,"[0, 0]",-0.26607931224792836,6,1
204,54,False,999,"[0, 0]",-0.2608937608674511,6,1
205,55,False,999,"[0, 0]",-0.22657473226059854,6,1
206,56,False,999,"[0, 0]",-0.25408767612393435,6,1
207,57,False,999,"[0, 0]",-0.2810311705014309,6,1
208,58,False,999,"[0, 0]",-0.299950235907119,6,1
209,59,False,999,"[0, 0]",-0.3387861120594673,6,1
210,60,False,999,"[0, 0]",-0.3339459589303714,6,1
211,61,False,999,"[0, 0]",-0.31092750889401244,6,1
212,62,False,999,"[0, 0]",-0.3517072740544289,6,1
213,63,False,999,"[0, 0]",-0.35450735357391705,6,1
214,64,False,999,"[0, 0]",-0.3491090113580235,6,1
215,65,False,999,"[0, 0]",-0.3157305833245882,6,1
216,66,False,999,"[0, 0]",-0.28587244766164055,6,1
217,67,False,999,"[0, 0]",-0.2687509188781736,6,1
218,68,False,999,"[0, 0]",-0.27169781405563187,6,1
219,69,False,999,"[0, 0]",-0.25812531010349843,6,1
220,70,False,999,"[0, 0]",-0.26825240382860627,6,1
221,71,False,999,"[0, 0]",-0.2358483087473474,6,1
222,72,False,999,"[0, 0]",-0.34124820296289765,6,1
223,73,False,999,"[0, 0]",-0.3264097568679364,6,1
224,74,False,999,"[0, 0]",-0.3209828518933602,6,1
225,75,False,999,"[0, 0]",-0.28109991273023,6,1
226,76,False,999,"[0, 0]",-0.2964913935368668,6,1
227,77,False,999,"[0, 0]",-0.2595127537686457,6,1
228,78,False,999,"[0, 0]",-0.2542984251551409,6,1
229,79,False,999,"[0, 0]",-0.2908329094014133,6,1
230,80,False,999,"[0, 0]",-0.27466026691000056,6,1
231,81,False,999,"[0, 0]",-0.24866239866551892,6,1
232,82,False,999,"[0, 0]",-0.2263276474573224,6,1
233,83,False,999,"[0, 0]",-0.24264677213411798,6,1
234,84,False,999,"[0, 0]",-0.2043741631273309,6,1
235,85,False,999,"[0, 0]",-0.24989851426706636,6,1
236,86,False,999,"[0, 0]",-0.22381997271181298,6,1
237,87,False,999,"[0, 0]",-0.21040500587318245,6,1
238,88,False,999,"[0, 0]",-0.17177588732694182,6,1
239,89,False,999,"[0, 0]",-0.1625731471725576,6,1
240,90,False,999,"[0, 0]",-0.19690027577034735,6,1
241,91,False,999,"[0, 0]",-0.17751906023026248,6,1
242,92,False,999,"[0, 0]",-0.1584856686639916,6,1
243,93,False,999,"[0, 0]",-0.1629398021906036,6,1
244,94,False,999,"[0, 0]",-0.16371905108857465,6,1
245,95,False,999,"[0, 0]",-0.15933219980116012,6,1
246,96,False,999,"[0, 0]",-0.14649482429784993,6,1
247,97,False,999,"[0, 0]",-0.14058780324301634,6,1
248,98,False,999,"[0, 0]",-0.1471981987698709,6,1
249,99,False,999,"[0, 0]",-0.16170701095232382,6,1
250,100,False,999,"[0, 0]",-0.16510372568763582,6,1
251,101,False,999,"[0, 0]",-0.18513350581399873,6,1
252,102,False,999,"[0, 0]",-0.18027463421507228,6,1
253,103,False,999,"[0, 0]",-0.18415697959598623,6,1
254,104,False,999,"[0, 0]",-0.17704076595861418,6,1
255,105,False,999,"[0, 0]",-0.19221232211225348,6,1
256,106,False,999,"[0, 0]",-0.21347493355421113,6,1
257,107,False,999,"[0, 0]",-0.17033038804243503,6,1
258,108,False,999,"[0, 0]",-0.2195816285131617,6,1
259,109,False,999,"[0, 0]",-0.23208659889960565,6,1
260,110,False,999,"[0, 0]",-0.17923482123906986,6,1
261,111,False,999,"[0, 0]",-0.2285356612082733,6,1
262,112,False,999,"[0, 0]",-0.21081672613610097,6,1
263,113,False,999,"[0, 0]",-0.20327575175283058,6,1
264,114,False,999,"[0, 0]",-0.17241642353634484,6,1
265,115,False,999,"[0, 0]",-0.14992752533555073,6,1
266,116,False,999,"[0, 0]",-0.15186026479256637,6,1
267,117,False,999,"[0, 0]",-0.1665676825955621,6,1
268,118,False,999,"[0, 0]",-0.1450049481077866,6,1
269,119,False,999,"[0, 0]",-0.1338666000575196,6,1
270,120,False,999,"[0, 0]",-0.13827963998449808,6,1
271,121,False,999,"[0, 0]",-0.13636873302716482,6,1
272,122,False,999,"[0, 0]",-0.12000760778812258,6,1
273,123,False,999,"[0, 0]",-0.1307875868749741,6,1
274,124,False,999,"[0, 0]",-0.12112697851645654,6,1
275,125,False,999,"[0, 0]",-0.1082946554067305,6,1
276,126,False,999,"[0, 0]",-0.09991393058596168,6,1
277,127,False,999,"[0, 0]",-0.11398357334507353,6,1
278,128,False,999,"[0, 0]",-0.11172755553566571,6,1
279,129,False,999,"[0, 0]",-0.10754878265878914,6,1
280,130,False,999,"[0, 0]",-0.11245418327520623,6,1
281,131,False,999,"[0, 0]",-0.1167070693200575,6,1
282,132,False,999,"[0, 0]",-0.11565888432535346,6,1
283,133,False,999,"[0, 0]",-0.1012629163140584,6,1
284,134,False,999,"[0, 0]",-0.09043357517190666,6,1
285,135,False,999,"[0, 0]",-0.09438679789922035,6,1
286,136,False,999,"[0, 0]",-0.09836243142681254,6,1
287,137,False,999,"[0, 0]",-0.12223905825304282,6,1
288,138,False,999,"[0, 0]",-0.09697537752127558,6,1
289,139,False,999,"[0, 0]",-0.08754655988263688,6,1
290,140,False,999,"[0, 0]",-0.10716587494385134,6,1
291,141,False,999,"[0, 0]",-0.10095574064667028,6,1
292,142,False,999,"[0, 0]",-0.07856707568086262,6,1
293,143,False,999,"[0, 0]",-0.09901615332977823,6,1
294,144,False,999,"[0, 0]",-0.08681280465135782,6,1
295,145,False,999,"[0, 0]",-0.07181980496923757,6,1
296,146,False,999,"[0, 0]",-0.08786400949398776,6,1
297,147,False,999,"[0, 0]",-0.08785855719216025,6,1
