episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
20,True,253,50.07414245605469,"[0.05, 0.05]",5
21,True,181,68.57649230957031,"[0.05, 0.05]",5
22,True,429,45.326053619384766,"[0.05, 0.05]",5
23,True,310,27.38496208190918,"[0.05, 0.05]",5
24,True,345,37.269737243652344,"[0.05, 0.05]",5
25,True,140,21.619115829467773,"[0.05, 0.05]",5
26,True,226,19.991025924682617,"[0.05, 0.05]",5
27,True,303,23.27225112915039,"[0.05, 0.05]",5
28,True,385,35.52655792236328,"[0.05, 0.05]",5
29,True,199,16.710613250732422,"[0.05, 0.05]",5
30,True,254,28.47093391418457,"[0.05, 0.05]",5
31,True,230,20.463397979736328,"[0.05, 0.05]",5
32,True,546,24.800947189331055,"[0.05, 0.05]",5
33,True,435,24.380382537841797,"[0.05, 0.05]",5
34,True,500,22.20262336730957,"[0.05, 0.05]",5
35,True,327,15.487099647521973,"[0.05, 0.05]",5
36,True,261,8.983916282653809,"[0.05, 0.05]",5
37,True,308,12.473182678222656,"[0.05, 0.05]",5
38,True,315,13.915436744689941,"[0.05, 0.05]",5
39,True,196,13.439332962036133,"[0.05, 0.05]",5
0,False,999,44.36936950683594,"[0.05, 0.05]",9
1,False,999,64.68687438964844,"[0.05, 0.05]",9
2,True,422,75.60307312011719,"[0.05, 0.05]",9
3,True,718,41.742149353027344,"[0.05, 0.05]",9
4,True,865,54.56142044067383,"[0.05, 0.05]",9
5,True,174,40.14493179321289,"[0.05, 0.05]",9
6,True,756,48.53617477416992,"[0.05, 0.05]",9
7,True,645,37.498470306396484,"[0.05, 0.05]",9
8,True,301,45.76529312133789,"[0.05, 0.05]",9
9,True,522,77.2820816040039,"[0.05, 0.05]",9
10,True,249,32.792476654052734,"[0.05, 0.05]",9
11,True,132,36.556026458740234,"[0.05, 0.05]",9
12,True,224,44.002193450927734,"[0.05, 0.05]",9
13,True,135,38.26901626586914,"[0.05, 0.05]",9
14,False,999,41.63612365722656,"[0.05, 0.05]",9
15,True,456,19.172609329223633,"[0.05, 0.05]",9
16,True,234,20.444873809814453,"[0.05, 0.05]",9
17,True,247,28.711633682250977,"[0.05, 0.05]",9
18,True,180,22.28508186340332,"[0.05, 0.05]",9
19,True,347,16.96468162536621,"[0.05, 0.05]",9
20,True,122,20.11716079711914,"[0.05, 0.05]",9
21,True,244,26.711963653564453,"[0.05, 0.05]",9
22,True,141,24.423900604248047,"[0.05, 0.05]",9
23,True,348,21.1740665435791,"[0.05, 0.05]",9
24,True,187,24.857505798339844,"[0.05, 0.05]",9
25,True,593,17.024982452392578,"[0.05, 0.05]",9
26,True,387,20.34528160095215,"[0.05, 0.05]",9
27,True,365,20.761484146118164,"[0.05, 0.05]",9
28,True,403,16.114322662353516,"[0.05, 0.05]",9
29,True,224,17.78605842590332,"[0.05, 0.05]",9
30,True,354,17.68541717529297,"[0.05, 0.05]",9
31,True,331,8.189210891723633,"[0.05, 0.05]",9
32,True,338,13.747791290283203,"[0.05, 0.05]",9
33,True,248,11.664649963378906,"[0.05, 0.05]",9
34,True,417,10.434203147888184,"[0.05, 0.05]",9
35,True,230,14.514491081237793,"[0.05, 0.05]",9
36,True,181,13.155999183654785,"[0.05, 0.05]",9
37,True,315,10.367752075195312,"[0.05, 0.05]",9
38,True,117,12.500994682312012,"[0.05, 0.05]",9
39,True,517,16.48975372314453,"[0.05, 0.05]",9
0,False,999,52.46205139160156,"[0.05, 0.05]",6
1,False,999,46.41086959838867,"[0.05, 0.05]",6
2,False,999,69.21051025390625,"[0.05, 0.05]",6
3,False,999,40.558258056640625,"[0.05, 0.05]",6
4,True,619,66.3204116821289,"[0.05, 0.05]",6
5,True,684,51.27772903442383,"[0.05, 0.05]",6
6,True,268,47.28392791748047,"[0.05, 0.05]",6
7,True,209,31.503995895385742,"[0.05, 0.05]",6
8,True,167,46.575016021728516,"[0.05, 0.05]",6
9,True,356,38.559410095214844,"[0.05, 0.05]",6
10,True,178,24.14508056640625,"[0.05, 0.05]",6
11,True,235,28.98056411743164,"[0.05, 0.05]",6
12,True,303,27.594938278198242,"[0.05, 0.05]",6
13,True,229,20.46965217590332,"[0.05, 0.05]",6
14,True,252,24.74745750427246,"[0.05, 0.05]",6
15,True,252,18.11861801147461,"[0.05, 0.05]",6
16,True,244,15.057028770446777,"[0.05, 0.05]",6
17,True,318,16.062179565429688,"[0.05, 0.05]",6
18,True,377,16.271629333496094,"[0.05, 0.05]",6
19,True,243,10.566479682922363,"[0.05, 0.05]",6
20,True,274,13.72282600402832,"[0.05, 0.05]",6
21,True,376,9.439042091369629,"[0.05, 0.05]",6
22,True,279,12.565245628356934,"[0.05, 0.05]",6
23,True,428,12.493707656860352,"[0.05, 0.05]",6
24,True,482,13.182079315185547,"[0.05, 0.05]",6
25,True,359,13.749234199523926,"[0.05, 0.05]",6
26,True,240,12.367716789245605,"[0.05, 0.05]",6
27,True,291,8.51533031463623,"[0.05, 0.05]",6
28,True,187,15.365619659423828,"[0.05, 0.05]",6
29,True,241,13.193191528320312,"[0.05, 0.05]",6
30,True,655,12.067305564880371,"[0.05, 0.05]",6
31,True,263,11.23155403137207,"[0.05, 0.05]",6
32,True,742,9.706623077392578,"[0.05, 0.05]",6
33,True,600,10.944657325744629,"[0.05, 0.05]",6
34,True,309,9.45175838470459,"[0.05, 0.05]",6
35,True,308,6.5615010261535645,"[0.05, 0.05]",6
36,True,234,6.5018630027771,"[0.05, 0.05]",6
37,True,336,6.796421527862549,"[0.05, 0.05]",6
38,True,336,5.716695308685303,"[0.05, 0.05]",6
39,True,411,7.192790985107422,"[0.05, 0.05]",6
0,False,999,63.451820373535156,"[0.05, 0.05]",8
1,True,361,44.36692810058594,"[0.05, 0.05]",8
2,False,999,22.70574951171875,"[0.05, 0.05]",8
3,True,198,49.60735321044922,"[0.05, 0.05]",8
4,True,507,58.57868576049805,"[0.05, 0.05]",8
5,True,233,66.85700225830078,"[0.05, 0.05]",8
6,True,489,66.4561538696289,"[0.05, 0.05]",8
7,True,483,25.799856185913086,"[0.05, 0.05]",8
8,True,188,54.8331298828125,"[0.05, 0.05]",8
9,True,93,48.479007720947266,"[0.05, 0.05]",8
10,True,480,58.1480712890625,"[0.05, 0.05]",8
11,True,642,27.33819007873535,"[0.05, 0.05]",8
12,True,568,40.40325927734375,"[0.05, 0.05]",8
13,True,554,24.985193252563477,"[0.05, 0.05]",8
14,True,260,46.43305206298828,"[0.05, 0.05]",8
15,True,155,40.56949234008789,"[0.05, 0.05]",8
16,True,337,36.87660598754883,"[0.05, 0.05]",8
17,True,183,38.96123504638672,"[0.05, 0.05]",8
18,True,535,32.04296112060547,"[0.05, 0.05]",8
19,False,999,15.998706817626953,"[0.05, 0.05]",8
20,False,999,14.10603141784668,"[0.05, 0.05]",8
21,True,491,11.40705680847168,"[0.05, 0.05]",8
22,True,712,11.865066528320312,"[0.05, 0.05]",8
23,True,176,9.353157997131348,"[0.05, 0.05]",8
24,False,999,10.692180633544922,"[0.05, 0.05]",8
25,True,239,9.422181129455566,"[0.05, 0.05]",8
26,True,202,9.592451095581055,"[0.05, 0.05]",8
27,True,234,9.361824989318848,"[0.05, 0.05]",8
28,True,538,8.963560104370117,"[0.05, 0.05]",8
29,True,462,6.872874736785889,"[0.05, 0.05]",8
30,True,240,9.778674125671387,"[0.05, 0.05]",8
31,True,305,8.199980735778809,"[0.05, 0.05]",8
32,True,121,8.476020812988281,"[0.05, 0.05]",8
33,True,215,7.593974590301514,"[0.05, 0.05]",8
